"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","Année","Carrosserie","Energie","Kilométrage","Nb de portes","Prix","Puissance fiscale","Transmission","V1","Emissions de CO2","Garantie mécanique","Nombre de places","Puissance réelle","Autres informations","Consommation mixte","Etat du véhicule","Contrôle technique","Couleur intérieur","Option equipement Sécurité","Option/Equipement Confort intérieur","Option/equipement extérieurs","Type de peinture carrosserie"
"1","https://www.paruvendu.fr/a/voiture-occasion/hyundai/tucson/1225566365A1KVVOHYTUC",0,"Hyundai occasion","Tucson","","
150 Rue Pierre et Marie Curie - Zac Rieucoulon34430 Saint-Jean-de-Védas
","
E BOX SUD
","Mars 2017
Assurance auto : Comparez","Berline","Diesel","27 600
km","4 portes avec hayon","21 680 €","6
CV","Manuelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","https://www.paruvendu.fr/a/voiture-occasion/audi/q3/1225771975A1KVVOAUQ3",0,"Audi occasion","Q3","","
150 Rue Pierre et Marie Curie - Zac Rieucoulon34430 Saint-Jean-de-Védas
","
E BOX SUD
","Juin 2017
Assurance auto : Comparez","Berline","Diesel","17 134
km","4 portes avec hayon","26 240 €","6
CV","Manuelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/polo/1225306026A1KVVOVWPOL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/touran/1225170215A1KVVOVWTOU",0,"Volkswagen occasion","Touran","","
150 Rue Pierre et Marie Curie - Zac Rieucoulon34430 Saint-Jean-de-Védas
","
E BOX SUD
","Avril 2017
Assurance auto : Comparez","Berline","Diesel","26 286
km","4 portes avec hayon","28 040 €","8
CV","Automatique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","https://www.paruvendu.fr/a/voiture-occasion/porsche/divers/1225248746A1KVVOPOZZZ",0,"Porsche occasion"," 4S, TURBO, Essence, 2017, 131900 &euro;","","
150 Rue Pierre et Marie Curie - Zac Rieucoulon34430 Saint-Jean-de-Védas
","
E BOX SUD
","Juin 2017
Assurance auto : Comparez","Cabriolet","Essence","10 485
km","2 portes avec hayon","131 900 €","30
CV","Automatique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/divers/1225092630A1KVVOVWZZZ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/tiguan/1223808099A1KVVOVWTIG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","https://www.paruvendu.fr/a/voiture-occasion/skoda/divers/1223758858A1KVVOSKZZZ",0,"Skoda occasion"," Ambiente, TDI, Diesel, 2014, 10870 &euro;","","
150 Rue Pierre et Marie Curie - Zac Rieucoulon34430 Saint-Jean-de-Védas
","
E BOX SUD
","Mai 2014
Assurance auto : Comparez","Break","Diesel","110 208
km","4 portes","10 870 €","5
CV","Manuelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","https://www.paruvendu.fr/a/voiture-occasion/bmw/divers/1227366877A1KVVOBMZZZ",0,"BMW occasion"," 420, D, Diesel, 2016, 34450 &euro;","","
150 Rue Pierre et Marie Curie - Zac Rieucoulon34430 Saint-Jean-de-Védas
","
E BOX SUD
","Février 2016
Assurance auto : Comparez","Cabriolet","Diesel","26 911
km","2 portes avec hayon","34 450 €","10
CV","Automatique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","https://www.paruvendu.fr/a/voiture-occasion/hyundai/divers/1230191874A1KVVOHYZZZ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
